,Text,Language
11,ភាពអស្ចារ្យរបស់ព្រៃដែកនិងទឹកជ្រោះនៅកម្ពុជា ជាអង្គភាពធម្មជាតិដែលគេអាចទស្សនា និងបង្ហាញគំនិតស្ដីពីការអភិវឌ្ឍន៍។,Khmer
12,ការធ្វើដំណើរ​ទៅកាន់ខេត្តកណ្ដាលក្នុងពេលវេលាខ្លី នឹងអាចបង្កើតទំនាក់ទំនងថ្មីៗនិងការផ្លាស់ប្ដូរពាណិជ្ជកម្មជាមួយគ្នា។,Khmer
13,ការអប់រំ​នៅកម្ពុជាគឺជាសេចក្តីសំខាន់ដែលកន្លែងនាំឱ្យមានកំណើនចំណេះដឹង និងការបកប្រែជាតិខ្មែរ។,Khmer
14,សិល្បៈបុរាណនៅកម្ពុជា គឺជាភាគខាងក្រោមនៃអត្តសញ្ញាណខ្មែរដែលអាចបង្ហាញពីពិតប្រាកដនៃសាសនាអាថ៌កំបាំង។,Khmer
15,ការកសាងនៃប្រាសាទនៅកម្ពុជា គឺជា​សញ្ញាណ​ប្លែក​ដែលតំណាងឱ្យឥណទាននិងប្រវត្តិសាស្ត្រខ្មែរបានសម្រេច។,Khmer
16,សង្គមខ្មែរមានគំនិតគ្រប់គ្រងបច្ចេកទេសដែលផ្តោតទៅលើអាជីវកម្មដែលមានអភិវឌ្ឍន៍ប្រកបដោយការទំនាក់ទំនង។,Khmer
17,ភាពសម្បូរបែបនៃសិល្បៈនិងសម្តែងនៅកម្ពុជា គឺជាដំណើរការដែលអាចបង្កើតមេរៀនស្ដីពីការអភិវឌ្ឍន៍សិល្បៈ។,Khmer
18,ប្រាសាទអង្គរគឺជា​ទីប្រជុំជាតិ​ដែលទាក់ទាញអ្នកទេសចរទាំងអស់ដោយមានឥណទាននិងសេដ្ឋកិច្ចដែលកើតឡើង។,Khmer
19,ការកំណត់អត្តសញ្ញាណ​របស់ខ្មែរមានសារសំខាន់ក្នុងការអភិវឌ្ឍន៍មហាអំណោយនិងការចូលរួមនៃមនុស្ស។,Khmer
20,ការកសាងគំនិតនៃភាពខ្មែរអាចបង្ហាញពីការរីកចម្រើន និងការផ្លាស់ប្ដូរទាំងអស់នៅក្នុងសង្គម។,Khmer
21,ព័ត៌មាននិងការស្រាវជ្រាវជាផ្នែកមួយដែលអាចបង្ហាញពីភាពសំខាន់នៃការបង្ហាញបុព្វបទខ្មែរនៅក្នុងពិភពលោក។,Khmer
22,ការលេងស្លាបព្រិលកំពុងតែទទួលបានការពេញនិយមនៅកម្ពុជា ដែលជាកម្សាន្តដ៏សប្បាយរីករាយសម្រាប់ក្មេងៗ។,Khmer
23,ព្រៃដែកនៅកម្ពុជាធ្វើឱ្យមានការបង្កើតលំនាំថ្មីៗនៃការអភិវឌ្ឍន៍គម្រោងស្នាដៃនានា។,Khmer
24,ការប្រារព្ធកិច្ចប្រជុំ និងសិក្ខាសាលា អាចធ្វើឱ្យបង្កើតគំនិតថ្មីៗនៃការអភិវឌ្ឍន៍សហគមន៍ក្នុងកម្ពុជា។,Khmer
25,ប្រពៃណីផ្គុំផ្គរផ្លែឈើដែលធ្វើឱ្យមានការអភិវឌ្ឍន៍នៅកម្ពុជាអាចបង្ហាញពីបរិយាកាសធម្មជាតិ។,Khmer
26,ខ្មែរ​បានបង្កើតសិល្បៈនិងវប្បធម៌ ដែលមានឥទ្ធិពលពីអ្វីៗជាច្រើនដែលកំពុងអភិវឌ្ឍន៍នៅក្នុងប្រទេស។,Khmer
27,ការអប់រំគឺជាសារសំខាន់សម្រាប់ជំនាន់ថ្មីនៅកម្ពុជា ដោយមានគម្រោងនិងគន្លងច្បាស់សម្រាប់ការអភិវឌ្ឍន៍។,Khmer
28,ភាពគួរឱ្យអភិវឌ្ឍន៍របស់គ្រួសារខ្មែរ គឺជាផ្នែកមួយនៃការតស៊ូសង្គមដែលអាចស្ថិតនៅចំណុចជួយ។,Khmer
29,ព្រៃកន្ទុយនៅកម្ពុជាគឺជាគន្លងនៃការសិក្សានៅក្នុងអាជីពនិងការអភិវឌ្ឍន៍ឱ្យប្រសើរ។,Khmer
30,ការបង្កើតកសិកម្មនៅកម្ពុជា គឺជាសកម្មភាពដ៏សំខាន់ដែលអាចជួយលើកកម្ពស់សេដ្ឋកិច្ចក្នុងសង្គម។,Khmer
31,កម្សាន្តពេលវិស្សមកាលរដូវរងារ គឺជាឱកាសសំខាន់សម្រាប់ក្មេងៗក្នុងការសិក្សានិងរីករាយ។,Khmer
32,ការចូលរួមក្នុងព្រឹត្តិការណ៍សង្គមអាចជួយបង្កើតទំនាក់ទំនងមិត្តភាព និងសហការណ៍ក្នុងសង្គមខ្មែរ។,Khmer
33,ការចែករំលែកព័ត៌មានអំពីវិទ្យាសាស្ត្រនិងបច្ចេកវិទ្យាគឺជាផ្នែកមួយនៃការអភិវឌ្ឍន៍សង្គមដែលចាំបាច់។,Khmer
34,វប្បធម៌ខ្មែរមានការបង្ហាញអំពីសិល្បៈ និងប្រវត្តិសាស្ត្រដែលចម្រុះក្នុងការបង្ហាញពីភាពបរិស្ថាននៅកម្ពុជា។,Khmer
35,សេចក្តីប្រកាសនិងការបង្ហោះឬបញ្ជាក់អំពីការអភិវឌ្ឍន៍សង្គមដែលមានភាពអភិជននៃមនុស្សនៅកម្ពុជា។,Khmer
36,ការចូលរួមរបស់ក្មេងៗក្នុងកីឡា និងសិល្បៈគឺជាគន្លងមួយសំខាន់ក្នុងការអភិវឌ្ឍន៍អត្តសញ្ញាណខ្មែរនៅតែមុន។,Khmer
37,យុទ្ធសាស្ត្រអប់រំរបស់កម្ពុជាគឺអាចជួយកសាងកម្រិតសង្គម និងភាពជោគជ័យក្នុងការសិក្សា។,Khmer
38,ការបង្កើតអាជីវកម្មតាមប្រព័ន្ធអ៊ីនធឺណិតនៅកម្ពុជាគឺជាគំរូសំខាន់នៃការអភិវឌ្ឍន៍សេដ្ឋកិច្ចថ្មី។,Khmer
39,ការរៀនសូត្រពីប្រវត្តិសាស្ត្រប្រាសាទអង្គរ គឺជាបទពិសោធន៍ដ៏សំខាន់សម្រាប់អ្នកទេសចរ។,Khmer
40,ខ្មែរមានមហាសមុទ្រនៅលើឆ្នេរខាងមាត់ដែលអាចជាកន្លែងស្រស់ស្អាតសម្រាប់កម្សាន្តនិងកំសាន្ត។,Khmer
41,ការសរសេរ និងការអានគឺជាផ្នែកមួយនៃការអភិវឌ្ឍន៍អត្តសញ្ញាណជាតិកម្ពុជាដែលមានសារៈសំខាន់។,Khmer
42,ជីវិតប្រចាំថ្ងៃរបស់ព្រះអង្គសង្ឃកម្ពុជាជាផ្នែកមួយនៃការបង្ហាញពីភាពខុសគ្នារវាងសង្គម។,Khmer
43,សិល្បៈខ្មែរមានភាពអស្ចារ្យ ដែលអាចបង្ហាញពីកម្រិតសិល្បៈនិងវប្បធម៌ក្នុងសង្គម។,Khmer
44,ប្រពៃណីការបុណ្យបុណ្យកុម្ភៈនៃខ្មែរ គឺជាសកម្មភាពដែលមានការល្បីល្បាញជុំវិញពិភពលោក។,Khmer
45,ការអភិវឌ្ឍន៍វិស័យកសិកម្មនៅកម្ពុជា គឺជាការចាំបាច់ដើម្បីកែលម្អសេដ្ឋកិច្ច។,Khmer
46,សាលារបស់កម្ពុជា គឺជាកន្លែងដែលក្មេងៗអាចទទួលបានការអប់រំដ៏ល្អ និងជួយសម្រេចគោលបំណងរបស់ពួកគេ។,Khmer
47,ការបង្ហោះសត្វអាផេលក្នុងទឹកគឺជាសកម្មភាពដែលធ្វើឱ្យមានភាពអស្ចារ្យនៃធម្មជាតិ។,Khmer
48,សកម្មភាពសង្គមនៅកម្ពុជា គឺជាការបង្ហាញពីភាពរីកចម្រើននៃគំនិតសង្គមថ្មីៗ។,Khmer
49,វប្បធម៌ខ្មែរមានប្រវត្តិសាស្ត្រដ៏យូរឆ្នាំ ដែលមានសារៈសំខាន់ក្នុងការបង្ហាញពីឥរិយាបថ។,Khmer
50,ការអភិវឌ្ឍន៍នៃបច្ចេកវិទ្យាព័ត៌មាននៅកម្ពុជាគឺជាផ្នែកមួយដែលអាចជួយបង្កើតការប្រាស្រ័យទាក់ទង។,Khmer
51,ជីវិតសង្គមនៅកម្ពុជា គឺជា​វប្បធម៌ដែលមានចំណុចគ្នា ហើយវាបង្ហាញពីអត្តសញ្ញាណដ៏សម្បូរ។,Khmer
52,ប្រពៃណីនៃការបង្ហាញសិល្បៈខ្មែរដែលមានភាពបរិស្ថានក្នុងការអភិវឌ្ឍន៍អាជីវកម្ម។,Khmer
53,ការរៀបចំព្រឹត្តិការណ៍និងការធ្វើដំណើរទស្សនាប្រាសាទនៅកម្ពុជាគឺជាការប្រកួតប្រជែងអស្ចារ្យ។,Khmer
54,ការបង្កើតវប្បធម៌សិល្បៈក្នុងសង្គមខ្មែរមានការគាំទ្រពីសមាជិកនៃសង្គមដែលមានប្រជាជនច្រើន។,Khmer
55,ការបញ្ចេញអារម្មណ៍និងការតបតម្កើងនៅកម្ពុជាគឺជារូបភាពនៃភាពខុសគ្នានៃអត្តសញ្ញាណ។,Khmer
56,ការស្រាវជ្រាវអំពីប្រពៃណីវប្បធម៌នៃខ្មែរនៅកម្ពុជាគឺជាការបញ្ជាក់ពីកម្រិតនៃការអភិវឌ្ឍន៍។,Khmer
57,ការបង្ហោះពិភពលោកនៅកម្ពុជា គឺជាប្រពៃណីដែលកើតមានពីការប្តេជ្ញា និងការតស៊ូសង្គម។,Khmer
58,ការធ្វើដំណើរទៅកាន់ទីក្រុងភ្នំពេញនឹងអាចធ្វើឱ្យមានការប្រាស្រ័យទាក់ទងជាមួយទស្សនិកជនផ្សេងៗ។,Khmer
59,ការបង្ហាញនៃសិល្បៈខ្មែរនៅក្នុងការប្រារព្ធពិធីនានាគឺជាការសំខាន់ដែលត្រូវបានរំឭក។,Khmer
60,ការបង្កើតកម្រិតនៃអាជីវកម្មតាមអ៊ិនធឺណិតអាចនឹងជួយកែលម្អសេដ្ឋកិច្ចនៅកម្ពុជា។,Khmer
61,ការលេងកីឡានៅកម្ពុជាគឺជាផ្នែកមួយដែលសំខាន់សម្រាប់ការអភិវឌ្ឍន៍ក្មេងៗ។,Khmer
62,ការព្យាបាលសុខភាពប្រចាំថ្ងៃគឺជាការពិចារណាដ៏សំខាន់ក្នុងការអភិវឌ្ឍន៍សង្គម។,Khmer
63,វប្បធម៌ខ្មែរមានការចូលរួមរបស់អ្នកស្រីដើម្បីបង្កើតសង្គមសមស្រប។,Khmer
64,ការរៀបចំកិច្ចប្រជុំក្នុងសង្គមនៅកម្ពុជា គឺជាការចាប់អារម្មណ៍នៃគំនិត និងចំណេះដឹងថ្មីៗ។,Khmer
65,អាកាសធាតុនៅកម្ពុជាគឺជាអកាសនៃការអភិវឌ្ឍន៍សេដ្ឋកិច្ចដែលមានឥទ្ធិពលលើការលូតលាស់។,Khmer
66,ការរៀនពីប្រពៃណីនៃខ្មែរដែលមានមូលដ្ឋានពីការវាយតម្លៃនិងការសិក្សា។,Khmer
67,ការចូលរួមចំពោះសកម្មភាពនៃវប្បធម៌ គឺជាផ្នែកមួយនៃការប្រព្រឹត្តិរបស់សង្គម។,Khmer
68,សិល្បៈខ្មែរមានភាពសម្របសម្រួលដែលនាំឲ្យមានការច្នៃប្រឌិតនិងការអភិវឌ្ឍន៍។,Khmer
69,ការបង្កើតការសិក្សារបស់ក្មេងៗក្នុងវិស័យសិល្បៈគឺជាភាគខាងក្រោមនៃការអភិវឌ្ឍន៍។,Khmer
70,ការបញ្ជាក់ពីវប្បធម៌ខ្មែរនៅក្នុងសង្គមអាចជួយបង្កើតអនុភាពសមត្ថភាព។,Khmer
71,ការបង្កើតអាជីវកម្មតាមប្រព័ន្ធអ៊ីនធឺណិតនាពេលបច្ចុប្បន្ននេះកំពុងក្លាយជាវិធីសាស្ត្រដ៏អស្ចារ្យសម្រាប់កសិករ និងអ្នកអាជីវកម្ម។,Khmer
72,បរិយាកាសធម្មជាតិនៅកម្ពុជា មានភាពអស្ចារ្យដែលជួយកែលម្អសុខភាពនិងអារម្មណ៍របស់មនុស្ស។,Khmer
73,ការរៀនពីប្រវត្តិសាស្ត្រ និងវប្បធម៌ខ្មែរជួយធ្វើឱ្យយើងយល់ដឹងពីអត្តសញ្ញាណ និងអនាគតសង្គម។,Khmer
74,ការចូលរួមក្នុងការប្រជុំគាំទ្រការអប់រំជារឿយៗ គឺជាការសំខាន់សម្រាប់ការបង្កើនគំនិតសង្គមថ្មី។,Khmer
75,ជីវិតប្រចាំថ្ងៃរបស់ខ្មែរមានលក្ខណៈអាចបង្ហាញពីគុណសម្បត្តិនិងវិបត្តិដែលពួកគេបានប្រឈមមុខ។,Khmer
76,ការអភិវឌ្ឍន៍វិស័យកសិកម្ម និងអាហារបរិមាណខ្ពស់ ជាពិសេសសម្រាប់អ្នកកសិករដែលមានជីវភាពតិចតួច។,Khmer
77,សង្គមខ្មែរពោរពេញទៅដោយប្រពៃណីដែលអាចបង្ហាញពីភាពធនធានធម្មជាតិ និងសង្គមប្រកបដោយស្ថិរភាព។,Khmer
78,ភាពសម្បូរបែបនៃអាហារខ្មែរនេះអាចបង្ហាញពីវប្បធម៌ស្លាបព្រិល និងការកកិតកកាយ។,Khmer
79,ការធ្វើដំណើរកម្សាន្តនៅកម្ពុជាជាផ្នែកមួយដែលអាចធ្វើឱ្យមានការសិក្សាថ្មីៗ និងកម្រិតឌីជីថល។,Khmer
80,ការប្រព្រឹត្តិការពិតប្រាកដជារឿងមួយដែលគួរឱ្យចាប់អារម្មណ៍ដោយមានភាពខុសគ្នានៃវប្បធម៌ខ្មែរ។,Khmer
81,ការអនុម័តច្បាប់និងគោលការណ៍ដែលមានសារៈសំខាន់ដើម្បីការពារពាណិជ្ជកម្មនៅក្នុងប្រទេសកម្ពុជា។,Khmer
82,សង្គមខ្មែរក៏មានភាពបំភ្លឺពីបច្ចេកវិទ្យា និងការអភិវឌ្ឍន៍ផ្នែកមនុស្សធម៌។,Khmer
83,ភាពជោគជ័យនៅក្នុងការអប់រំជាសកម្មភាពមួយសម្រាប់ការលូតលាស់និងការបង្កើតអនាគតថ្មី។,Khmer
84,ការបង្ហាញសិល្បៈនៅក្នុងការប្រារព្ធពិធីកាលពីឆ្នាំថ្មីខ្មែរគឺជាការតាំងពីសិល្បករ និងមហាជន។,Khmer
85,ប្រពៃណីនៃការទទួលអាហារខ្មែរនៅក្នុងឱកាសពិសេសបង្ហាញពីការល្អប្រសើរនិងការស្រឡាញ់ដល់គ្រួសារ។,Khmer
86,ការរៀបចំការសិក្សាអំពីបរិស្ថាននៅកម្ពុជា គឺជាការដោះសោនៃការកែប្រែសង្គម។,Khmer
87,សិល្បៈសម្តែងក្នុងខេត្តកម្ពុជា គឺជាផ្នែកមួយដែលអាចធ្វើឱ្យមានការបង្ហាញពីអត្តសញ្ញាណខ្មែរ។,Khmer
88,ការពង្រឹងនៃការប្រព្រឹត្តនិងការសិក្សាបច្ចេកវិទ្យាគឺជាកត្តាសំខាន់ក្នុងការអភិវឌ្ឍន៍សង្គម។,Khmer
89,ការរៀបចំការកម្មវិធីសង្គមនៅកម្ពុជាគឺជាការធ្វើឱ្យមានភាពធនធាននៅក្នុងសង្គម។,Khmer
90,វប្បធម៌ខ្មែរដែលមានការបន្តបន្ទាប់នឹងឧបត្ថម្ភដល់អាជីវកម្មនិងសេដ្ឋកិច្ចនៅកម្ពុជា។,Khmer
91,ការបង្ហោះនៃអារម្មណ៍នៅក្នុងការប្រឹក្សាគឺជាការសំខាន់សម្រាប់ការធ្វើដំណើរទៅកាន់វិស័យសិក្សា។,Khmer
92,ការអភិវឌ្ឍន៍វិស័យទេសចរណ៍នៅកម្ពុជាគឺជាការបង្ហាញពីទស្សនវិស័យនៃការសម្រេចនិងភាពស្រស់ស្អាត។,Khmer
93,ការបង្កើតស្តង់ដារសង្គមនិងអំណាចគឺជាការបន្តដ៏សំខាន់ក្នុងការលូតលាស់។,Khmer
94,ប្រពៃណីនៃការបង្កើតមជ្ឈមណ្ឌលសិល្បៈជួយបង្កើតជីវភាពប្រកបដោយភាពសុខសាន្ត។,Khmer
95,ការសិក្សាអំពីវប្បធម៌ខ្មែរ ជួយបង្កើតការយល់ដឹងនិងការចូលរួមក្នុងសង្គម។,Khmer
96,ជីវិតនៃការអប់រំ គឺជាផ្នែកមួយដែលអាចបង្កើតការប្រឡងថ្មីៗ និងការបង្ហាញចំណេះដឹង។,Khmer
97,ការព្យាបាលជំងឺក្នុងសង្គមមានការចែករំលែកកម្រិតថ្មីៗដែលអាចជួយដល់សុខភាពនិងសង្គម។,Khmer
98,ការបង្ហាញពីប្រាសាទគឺជាគំនិតដ៏សំខាន់ដែលធ្វើឱ្យមានការយកចិត្តទុកដាក់អំពីប្រវត្តិសាស្ត្រ។,Khmer
99,ប្រពៃណីនៃការច្នៃប្រឌិតសិល្បៈនៅកម្ពុជាគឺជាគំនិតនៃការអភិវឌ្ឍន៍សង្គម។,Khmer
100,ការអនុម័តឲ្យមានប្រព័ន្ធអប់រំថ្មីៗអាចជួយការបង្កើតសង្គមមានប្រជាជនថ្មីៗ។,Khmer
101,សកម្មភាពនិងការព្យាបាលជំងឺជាផ្នែកមួយនៃការចូលរួមក្នុងសង្គមខ្មែរ។,Khmer
102,ការអភិវឌ្ឍន៍នៃអាជីវកម្មធ្វើឱ្យមានភាពកម្រិតនៃការអភិវឌ្ឍន៍សេដ្ឋកិច្ច។,Khmer
103,ជីវិតប្រចាំថ្ងៃរបស់ខ្មែរមានការទទួលបានភាពខុសគ្នា និងការសរសើរពីការច្នៃប្រឌិត។,Khmer
104,ការរៀបចំបណ្ដាញនៅកម្ពុជាគឺជាគន្លងសម្រាប់ការលូតលាស់ក្នុងការអភិវឌ្ឍន៍។,Khmer
105,ការសិក្សាសិល្បៈនៅក្នុងប្រទេសកម្ពុជា គឺជាផ្នែកមួយនៃការអភិវឌ្ឍន៍មនុស្ស។,Khmer
106,ការបង្កើតការរៀនអំពីវប្បធម៌ និងប្រវត្តិសាស្ត្រនេះជួយកសាងសេចក្តីពិត។,Khmer
107,ការទទួលបានការអប់រំគឺជាប្រយោជន៍សំខាន់សម្រាប់ការវាយតម្លៃជីវិត។,Khmer
108,ការអភិវឌ្ឍន៍នៃប្រព័ន្ធគ្រប់គ្រង និងវិស័យមុខងារក្នុងសង្គមខ្មែរបង្កើតការប្រែប្រួល។,Khmer
109,សិស្សានុសិស្សនៅកម្ពុជាកំពុងទទួលបានការអប់រំល្អ និងជួយបង្កើតសមត្ថភាពថ្មី។,Khmer
110,ការបង្ហោះអំពីអាជីវកម្មថ្មីៗនៅកម្ពុជា គឺជាផ្នែកមួយនៃការអភិវឌ្ឍន៍សេដ្ឋកិច្ច។,Khmer
111,ប្រពៃណីនៃការសម្តែងសិល្បៈនៅកម្ពុជា គឺជាគំនិតសំខាន់,Khmer
